Unnamed: 0,authors,published_date,description,isbn_10,isbn_13,page_count,categories,maturity_rating,language,join_isbn_10
,,,,,,,,,,0819308013
,['Jasper Godwin Ridley'],2001,"A gripping acount of Mary Tudor and her reign of terror details her ascension to the English throne in 1553, her restoration of Roman Catholicism, her marriage, and her inability to conceive a child, which led to the fires at Smithfield where hundreds of Protestants--including Hugh Latimer and Thomas Cranmer--met their fate at the stake.",0786708549,9780786708543.0,246.0,['History'],NOT_MATURE,en,0786708549
,,,,,,,,,,0671430149
,['D. J. H. Clifford'],2003,"In her diaries Lady Anne Clifford, the remarkable Stuart noblewoman, vividly documents both the great and the trivial events of her long life. They cover her life from her childhood days, when she witnessed the funeral of Queen Elizabeth I, to her last months, when she recalled her past life from her room in Brougham Castle. Through compiling and transcribing the manuscript records, D.J.H. Clifford here presents in one volume the full range of Lady Anne's life, from her active life at court as the Countess of Dorset (residing at Knole in Kent), her turbulent second marriage to the 4th Earl of Pembroke at Wilton in Wiltshire, and her final, long-disputed succession to her father's lands in Westmorland and North Yorkshire. The diaries are complemented by explanatory notes, family trees and illustrations. They provide both a historical record and a glimpse into the life and character of this noble and Christian lady, whose powerful presence is still in evidence today in the monuments and folklore of Westmorland.",0750931787,9780750931786.0,306.0,['Biography & Autobiography'],NOT_MATURE,en,0750931787
,['John Rabe'],1998,"As the Japanese army closed in on the city and all foreigners were ordered to evacuate, Rabe felt it would shame him before his Chinese workers and dishonor the Fatherland if he abandoned them. Sending his wife to the north, he mobilized the remaining Westerners in Nanking and organized an ""International Safety Zone"" within which all unarmed Chinese were to be - by virtue of Germany's pact with Japan - guaranteed safety.",UOM:39015045985135,,294.0,['Biography & Autobiography'],NOT_MATURE,en,037540211X
,['Hilda Frances Margaret Prescott'],2003,"A highly-readable popular biography of 'Bloody Mary' - winner of the James Tait Black prize. Mary I is notorious for her persecution of Protestants and has been vilified by generations of partisan historians. H.F.M. Prescott brings a more humane and measured perspective to the life of this tormented woman. First published in 1940 under the title SPANISH TUDOR, Prescott's biography won the James Tait Black prize the following year. An extensively revised and updated edition was published in 1953 under the title MARY TUDOR. Prescott sums up her subject's life as follows: 'Perhaps no other reign in English history has seen such a great endeavour made, and so utterly defeated. All that Mary did was undone, all she intended utterly unfulfilled...mistaken often, almost always misguided in her public office, with much blindness, some rancour, some jealousy, some stupid cruelty to answer for, she had yet trodden, lifelong and manfully, the way that other sinners know.'",1842126253,9781842126257.0,562.0,['Biography & Autobiography'],NOT_MATURE,en,1842126253
,"['Judith Miller', 'Stephen Engelberg', 'William J Broad']",2002-10-02,"Presents an account of germ weaponry around the globe, including the Soviet Union's biological weapons program that contains an abundance of anthrax germs, and the United States' attempt to put an end to these efforts.",9780684871592,684871599.0,420.0,['History'],NOT_MATURE,en,0684871599
,['Robert Carrier'],1994,,185283952X,9781852839529.0,224.0,['Vegetarian cookery'],NOT_MATURE,en,185283952X
,['Charles Williams'],1983-01-01,"While sailing on the Pacific Ocean, a couple on their honeymoon rescues a man from a sinking ship and begins to suspect that he is a murderer",0060806559,9780060806552.0,188.0,['Fiction'],NOT_MATURE,en,0060806559
,,,,,,,,,,1842125605
,['JoAnn Rachor'],1991-08,,1878726021,9781878726025.0,100.0,['Cooking'],NOT_MATURE,en,1878726021
,['Robin Neillands'],1992,"The vicious wars between the English noble houses of York and Lancaster marked the end of medieval England and the birth of the Renaissance. The story of the Wars of the Roses is nothing if not complex. Even its beginning is uncertain. Did the trouble start when Henry Bollingbrook usurped the throne of Richard II, or when Henry V died in 1422 with his conquests incomplete? Or was it really started in 1453 when Henry VI concluded decades of muddled rule with his bout of insanity?",1860199976,9781860199974.0,223.0,['Great Britain'],NOT_MATURE,en,1860199976
,['Elizabeth I'],2000-09-01,"This long-awaited and masterfully edited volume contains nearly all of the writings of Queen Elizabeth I: the clumsy letters of childhood, the early speeches of a fledgling queen, and the prayers and poetry of the monarch's later years. The first collection of its kind, Elizabeth I reveals brilliance on two counts: that of the Queen, a dazzling writer and a leading intellect of the English Renaissance, and that of the editors, whose copious annotations make the book not only essential to scholars but accessible to general readers as well. ""This collection shines a light onto the character and experience of one of the most interesting of monarchs. . . . We are likely never to get a closer or clearer look at her. An intriguing and intense portrait of a woman who figures so importantly in the birth of our modern world.""—Publishers Weekly ""An admirable scholarly edition of the queen's literary output. . . . This anthology will excite scholars of Elizabethan history, but there is something here for all of us who revel in the English language.""—John Cooper, Washington Times ""Substantial, scholarly, but accessible. . . . An invaluable work of reference.""—Patrick Collinson, London Review of Books ""In a single extraordinary volume . . . Marcus and her coeditors have collected the Virgin Queen's letters, speeches, poems and prayers. . . . An impressive, heavily footnoted volume.""—Library Journal ""This excellent anthology of [Elizabeth's] speeches, poems, prayers and letters demonstrates her virtuosity and afford the reader a penetrating insight into her 'wiles and understandings.'""—Anne Somerset, New Statesman ""Here then is the only trustworthy collection of the various genres of Elizabeth's writings. . . . A fine edition which will be indispensable to all those interested in Elizabeth I and her reign.""—Susan Doran, History ""In the torrent of words about her, the queen's own words have been hard to find. . . . [This] volume is a major scholarly achievement that makes Elizabeth's mind much more accessible than before. . . . A veritable feast of material in different genres.""—David Norbrook, The New Republic",0226504646,9780226504643.0,470.0,['History'],NOT_MATURE,en,0226504646
,['Diana Rosen'],2001,"If you think that incense is just a throw-back to the sixties, look again. Today's incense goes further and reaches deeper. Incense - the ancient scents made from spices, fruits, herbs, and resins - brings together peoples and cultures from around the world. It also provides an inviting way to connect with the spiritual and bring fragrance into the home. The scents of the past can still be found in classic incense, such as patchouli, rose, myrrh, sandalwood, frankincense, and jasmine. Modern fragrances can be whimsical, including cherry, watermelon, and strawberry. The choices are endless; the applications wildly diverse. At its core, incense is a tool to evoke peace and tranquility. THE ESSENCE OF INCENSE asks: How can we apply the ritual of incense burning to deepen our own spirituality? How can we infuse our homes and our lives so that we are able to pause, to observe the importance of quiet time shared with our own spiritual force? How can we use incense to give us more personal peace and calm? How can the aromatherapeutic effects of incense add to our lives? THE ESSENCE OF INCENSE includes inspiring suggestions for using incense in every room of the home - creativity scents in the study for journal writing, relaxation scents for lounging in the bath, sensual scents to set the mood in the bedroom. Sidebars throughout offer practical advice and unique applications for incense.",1580173675,9781580173674.0,132.0,"['Body, Mind & Spirit']",NOT_MATURE,en,1580173675
,,,,,,,,,,0425156265
,['John C. Maxwell'],2002,,3765518018,9783765518010.0,223.0,['Führungseigenschaft - Führungserfolg'],NOT_MATURE,de,3765518018
,"['David Groover', 'C. C. Conner']",1986-01-01,"A pot-pourri of opera nonsense, from caustic reviews to operas to overlook and look over and from maestros mentioning maestros to comments on Florence Foster Jenkins, Geraldine Farrar, and others",0312727623,9780312727628.0,243.0,['Music'],NOT_MATURE,en,0312727623
,,1994,"Gay spirituality and sensibility come to light in these pages of striking portraits and trenchant interviews. Thompson brings out the unique contributions of the esteemed gay men - including Will Roscoe, Joseph Kramer, Harry Hay, James Broughton, Andrew Harvey, Paul Monette, Malcolm Boyd, and Ram Dass - who lead the spiritual life.Thompson elicits vivid musings on such provocative issues as the third gender, S & M, ritual as æholy fire', and spirituality in the age of Aids. His interviews call out the deepest emotions of each of these vibrant leaders who reveal, as never before, the spirit and the soul of the gay life.",STANFORD:36105009748976,,280.0,['Social Science'],MATURE,en,0062510401
,['Joy Adamson'],1981,,0006363113,9780006363118.0,253.0,['Leopard'],NOT_MATURE,en,0006363113
,['Robert J. Randisi'],2000,"The Private Eye Writers of America present a new anthology of stories by Shamus Award-winning mystery writers, including works by Jeremiah Healy, Loren D. Estleman, Max Allan Collins, Gary Phillips, Les Roberts, S. J. Rozan, and many others. Original.",0451201299,9780451201294.0,370.0,['Fiction'],NOT_MATURE,en,0451201299
,['Tong Su'],1995,"The first novel by the author of Raise the Red Lantern. In 1930s China, rice is power, influence, sexual potency and the means of survival. This is the story of a country boy who migrates to the city and becomes owner of a rice emporium, and his volatile wives and dangerous, violent children.",0671719297,9780671719296.0,266.0,['Businessmen'],NOT_MATURE,en,0671719297
,"['Nathan Braund', 'Maxim Jakubowski']",1999,Fifteen experts on the nineteenth-century serial killer turn the case inside out looking for the true identity of the legendary murderer who terrorized the streets of Victorian London. Original.,0786706260,9780786706266.0,499.0,['True Crime'],NOT_MATURE,en,0786706260
,"['Noel Coward', 'Graham Payn', 'Sheridan Morley']",1982,"Journals chronicling the last thirty years of Coward's life provide a candid account of his theatrical career on both sides of the Atlantic and a revealing, entertaining portrait of Coward, himself",0316695505,9780316695503.0,698.0,['Biography & Autobiography'],NOT_MATURE,en,0316695505
,,,,,,,,,,840149902X
,,,,,,,,,,0613034767
,['Mīrābāī'],1993,Poems attributed to a sixteenth-century Hindu princess who gave up her position to become a wandering ascetic reveal her protest against society and devotion to the god Krishna,UOM:39015029860049,,155.0,['Krishna (Hindu deity)'],NOT_MATURE,en,0877738726
,['Cleo Laine'],1994,"In the autobiography of a singer who has been nominated for numerous Grammy awards, Cleo Laine details her memories of her Jamaican father and English mother, growing up poor, and her eventual success as a vocalist. 10,000 first printing.",0684837625,9780684837628.0,352.0,['Biography & Autobiography'],NOT_MATURE,en,0684837625
,['Maya Angelou'],1975,"Thirty-six new poems celebrate life, love, memory, and self-discovery and elegize the Afro-American past, loneliness, losses, and destruction",0394499514,9780394499512.0,88.0,['American poetry'],NOT_MATURE,en,0394499514
